# syscall (v6.18.0 2026-06-18),s390
accept4,364
access,33
acct,51
add_key,278
adjtimex,124
afs_syscall,137
alarm,27
bdflush,134
bind,361
bpf,351
brk,45
cachestat,451
capget,184
capset,185
chdir,12
chmod,15
chown,182
chown32,212
chroot,61
clock_adjtime,337
clock_adjtime64,405
clock_getres,261
clock_getres_time64,406
clock_gettime,260
clock_gettime64,403
clock_nanosleep,262
clock_nanosleep_time64,407
clock_settime,259
clock_settime64,404
clone,120
clone3,435
close,6
close_range,436
connect,362
copy_file_range,375
creat,8
create_module,127
delete_module,129
dup2,63
dup3,326
dup,41
epoll_create1,327
epoll_create,249
epoll_ctl,250
epoll_pwait2,441
epoll_pwait,312
epoll_wait,251
eventfd2,323
eventfd,318
execve,11
execveat,354
exit,1
exit_group,248
faccessat2,439
faccessat,300
fadvise64,253
fadvise64_64,264
fallocate,314
fanotify_init,332
fanotify_mark,333
fchdir,133
fchmod,94
fchmodat2,452
fchmodat,299
fchown32,207
fchown,95
fchownat,291
fcntl,55
fcntl64,221
fdatasync,148
fgetxattr,229
file_getattr,468
file_setattr,469
finit_module,344
flistxattr,232
flock,143
fork,2
fremovexattr,235
fsconfig,431
fsetxattr,226
fsmount,432
fsopen,430
fspick,433
fstat,108
fstat64,197
fstatat64,293
fstatfs,100
fstatfs64,266
fsync,118
ftruncate64,194
ftruncate,93
futex,238
futex_requeue,456
futex_time64,422
futex_wait,455
futex_waitv,449
futex_wake,454
futimesat,292
getcpu,311
getcwd,183
getdents,141
getdents64,220
getegid32,202
getegid,50
geteuid32,201
geteuid,49
getgid32,200
getgid,47
getgroups32,205
getgroups,80
getitimer,105
get_kernel_syms,130
get_mempolicy,269
getpeername,368
getpgid,132
getpgrp,65
getpid,20
getpmsg,188
getppid,64
getpriority,96
getrandom,349
getresgid,171
getresgid32,211
getresuid,165
getresuid32,209
getrlimit,76
get_robust_list,305
getrusage,77
getsid,147
getsockname,367
getsockopt,365
gettid,236
gettimeofday,78
getuid,24
getuid32,199
getxattr,227
getxattrat,464
idle,112
init_module,128
inotify_add_watch,285
inotify_init1,324
inotify_init,284
inotify_rm_watch,286
io_cancel,247
ioctl,54
io_destroy,244
io_getevents,245
ioperm,101
io_pgetevents,382
io_pgetevents_time64,416
ioprio_get,283
ioprio_set,282
io_setup,243
io_submit,246
io_uring_enter,426
io_uring_register,427
io_uring_setup,425
ipc,117
kcmp,343
kexec_file_load,381
kexec_load,277
keyctl,280
kill,37
landlock_add_rule,445
landlock_create_ruleset,444
landlock_restrict_self,446
lchown,16
lchown32,198
lgetxattr,228
link,9
linkat,296
listen,363
listmount,458
listxattr,230
listxattrat,465
llistxattr,231
_llseek,140
lookup_dcookie,110
lremovexattr,234
lseek,19
lsetxattr,225
lsm_get_self_attr,459
lsm_list_modules,461
lsm_set_self_attr,460
lstat,107
lstat64,196
madvise,219
map_shadow_stack,453
mbind,268
membarrier,356
memfd_create,350
memfd_secret,447
migrate_pages,287
mincore,218
mkdir,39
mkdirat,289
mknod,14
